sensor_model,measure_unit,device,location,data_type,data,created_at
Shelly EM,kWh,Disjuntor Geral 7669,Quadro de Energia,Consumo de Energia,1.01536,2025-05-28 20:11:40.276062
Shelly EM,kWh,Disjuntor Geral 6213,Quadro de Energia,Consumo de Energia,1.00804,2025-05-28 20:12:40.276062
Shelly EM,kWh,Disjuntor Geral 2061,Quadro de Energia,Consumo de Energia,0.89575,2025-05-28 20:13:40.276062
Shelly EM,kWh,Disjuntor Geral 6327,Quadro de Energia,Consumo de Energia,0.94968,2025-05-28 20:14:40.276062
Shelly EM,kWh,Disjuntor Geral 7085,Quadro de Energia,Consumo de Energia,0.90979,2025-05-28 20:15:40.276062
Shelly EM,kWh,Disjuntor Geral 6546,Quadro de Energia,Consumo de Energia,0.97918,2025-05-28 20:16:40.276062
Shelly EM,kWh,Disjuntor Geral 4115,Quadro de Energia,Consumo de Energia,1.00255,2025-05-28 20:17:40.276062
Shelly EM,kWh,Disjuntor Geral 3621,Quadro de Energia,Consumo de Energia,0.95079,2025-05-28 20:18:40.276062
Shelly EM,kWh,Disjuntor Geral 0876,Quadro de Energia,Consumo de Energia,0.97498,2025-05-28 20:19:40.276062
Shelly EM,kWh,Disjuntor Geral 6011,Quadro de Energia,Consumo de Energia,1.01518,2025-05-28 20:20:40.276062
Shelly EM,kWh,Disjuntor Geral 4717,Quadro de Energia,Consumo de Energia,1.00835,2025-05-28 20:21:40.276062
Shelly EM,kWh,Disjuntor Geral 5525,Quadro de Energia,Consumo de Energia,0.95517,2025-05-28 20:22:40.276062
Shelly EM,kWh,Disjuntor Geral 5655,Quadro de Energia,Consumo de Energia,1.02405,2025-05-28 20:23:40.276062
Shelly EM,kWh,Disjuntor Geral 8374,Quadro de Energia,Consumo de Energia,1.01192,2025-05-28 20:24:40.276062
Shelly EM,kWh,Disjuntor Geral 6843,Quadro de Energia,Consumo de Energia,1.0392,2025-05-28 20:25:40.276062
Shelly EM,kWh,Disjuntor Geral 9142,Quadro de Energia,Consumo de Energia,0.87011,2025-05-28 20:26:40.276062
Shelly EM,kWh,Disjuntor Geral 9560,Quadro de Energia,Consumo de Energia,0.89674,2025-05-28 20:27:40.276062
Shelly EM,kWh,Disjuntor Geral 8026,Quadro de Energia,Consumo de Energia,0.96162,2025-05-28 20:28:40.276062
Shelly EM,kWh,Disjuntor Geral 1523,Quadro de Energia,Consumo de Energia,1.05731,2025-05-28 20:29:40.276062
Shelly EM,kWh,Disjuntor Geral 7198,Quadro de Energia,Consumo de Energia,0.95215,2025-05-28 20:30:40.276062
Shelly EM,kWh,Disjuntor Geral 5618,Quadro de Energia,Consumo de Energia,1.03704,2025-05-28 20:31:40.276062
Shelly EM,kWh,Disjuntor Geral 0012,Quadro de Energia,Consumo de Energia,1.03525,2025-05-28 20:32:40.276062
Shelly EM,kWh,Disjuntor Geral 7464,Quadro de Energia,Consumo de Energia,0.94717,2025-05-28 20:33:40.276062
Shelly EM,kWh,Disjuntor Geral 1535,Quadro de Energia,Consumo de Energia,0.95107,2025-05-28 20:34:40.276062
Shelly EM,kWh,Disjuntor Geral 8931,Quadro de Energia,Consumo de Energia,0.94808,2025-05-28 20:35:40.276062
Shelly EM,kWh,Disjuntor Geral 1999,Quadro de Energia,Consumo de Energia,0.98936,2025-05-28 20:36:40.276062
Shelly EM,kWh,Disjuntor Geral 9109,Quadro de Energia,Consumo de Energia,1.02644,2025-05-28 20:37:40.276062
